Acinetobacter	Anabaena	Bacillus	Bdellovibrio	Burkholderia	Chlamydia	Chlamydophila	Clostridium	Escherichia	Lactococcus	Microcystis	Mycobacterium	Prochlorococcus	Pseudomonas	Salmonella	Shigella	Staphylococcus	Streptococcus	Synechococcus	Vibrio	Yersinia
mcl_201	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
mcl_204	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_205	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
mcl_206	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
mcl_211	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
mcl_213	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
mcl_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
mcl_218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_219	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
mcl_222	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_224	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
mcl_225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
mcl_226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
mcl_229	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
mcl_230	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_235	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
mcl_236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_237	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mcl_238	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_239	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_241	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_242	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
mcl_243	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_254	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
mcl_255	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
mcl_256	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
mcl_259	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_269	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
mcl_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_279	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
mcl_280	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
mcl_284	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_286	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_287	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_288	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_289	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
mcl_291	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_294	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_295	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
mcl_303	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_306	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_307	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_310	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
mcl_315	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
mcl_319	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
mcl_320	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
mcl_321	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_322	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mcl_324	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
mcl_325	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_326	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_327	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
mcl_328	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_329	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mcl_330	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
mcl_331	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
mcl_332	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_333	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_334	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_337	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_339	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_340	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_342	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
mcl_343	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_344	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_345	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
mcl_348	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_349	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_350	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
mcl_354	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_359	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_360	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_361	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
mcl_366	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
mcl_369	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_373	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_375	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mcl_381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
mcl_383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
mcl_389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
mcl_391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
mcl_402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
mcl_411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
mcl_413	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
mcl_414	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
mcl_415	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
